kegg_pathways
Adherens junction
Apoptosis
Apoptosis - multiple species
Autophagy - animal
Autophagy - other
Dopaminergic synapse
GABAergic synapse
IL-17 signaling pathway
Insulin resistance
Insulin signaling pathway
MAPK signaling pathway
NF-kappa B signaling pathway
Neurotrophin signaling pathway
Notch signaling pathway
Regulation of actin cytoskeleton
TNF signaling pathway
Toll-like receptor signaling pathway
Type II diabetes mellitus
Ubiquitin mediated proteolysis
VEGF signaling pathway
Wnt signaling pathway

