subject,Caspase subgraph,Chaperone subgraph,GRB10 subgraph,Interferon signaling subgraph,Insulin signal transduction,Interleukin signaling subgraph,MAPK subgraph,miRNA subgraph,Notch signaling subgraph,RhoA subgraph,Amyloidogenic subgraph,Akt/mTOR subgraph,Apoptosis signaling subgraph,Autophagy signaling subgraph,ATP13A2 subgraph,APOE subgraph,Bcl-2 subgraph,Calcium-dependent signal transduction,Calsyntenin subgraph,Cholesterol metabolism subgraph,Cell cycle subgraph,Cyclic AMP subgraph,Cytokine signaling subgraph,DNA synthesis,Dopaminergic subgraph,Disaccharide metabolism subgraph,Endoplasmic reticulum-Golgi protein export,Energy metabolic subgraph,Estrogen subgraph,FMR1 subgraph,Folate metabolic subgraph,GABA subgraph,GSK3 subgraph,G-protein-mediated signaling,Innate immune system subgraph,Lipid metabolism subgraph,LRRK2 subgraph,Matrix metalloproteinase subgraph,Mitochondria fission subgraph,Mitochondria fusion subgraph,Mitochondrial subgraph,Mitophagy subgraph,Nuclear factor Kappa beta subgraph,Neurotrophic subgraph,Nitric oxide subgraph,PINK1 subgraph,Phosphatidylinositol 3 subgraph,Pre-translational events,Post-translational events,Regulation of cytoskeleton subgraph,Response to oxidative stress,Reactive oxygen species subgraph,Synuclein subgraph,Tau protein subgraph,Transcription subgraph,Transport related subgraph,Toll like receptor subgraph,Tumor necrosis factor subgraph,Ubiquitin subgraph,Unfolded protein response subgraph,Vascular endothelial growth factor subgraph,Vitamin subgraph,Wnt signaling subgraph,CRH subgraph
PPMISI3000,0.0540540541,0.0508474576,0,0.027027027,0,0.0103092784,0,0.1,0.75,nan,0,0.064516129,0,nan,nan,nan,0.0461538462,nan,nan,0.0606060606,nan,nan,nan,0.023255814,0,nan,0.5,nan,nan,0.0588235294,0.1052631579,nan,0,0,0.0740740741,nan,0,nan,0,0.0322580645,nan,0,0.0238095238,nan,nan,0,0.1818181818,0,0.0649350649,0,0,nan,nan,0.0897435897,0,0,0,0.0307017544,nan,nan,0,0,0.1111111111,
PPMISI3001,0.0333333333,0,0,0,0.0666666667,0,0,0,0,nan,nan,0.1666666667,0,nan,nan,0.1428571429,0.0361445783,nan,0,0.0126582278,nan,nan,nan,0.037037037,0,0,0.0588235294,nan,nan,0.125,0,nan,0.0222222222,0,0,nan,0,nan,0,0.037037037,nan,0,0.03125,nan,nan,0.0666666667,0.125,0,0.0454545455,nan,0,0,nan,0.0833333333,0.0444444444,nan,0,0.049689441,0,0,0.023255814,0,nan,
PPMISI3002,0,0,nan,0.0085470085,0,0.0046620047,0,0.09375,0,nan,0,0.0208333333,0,nan,nan,0,0,nan,0,0,nan,nan,0,0,0,0,0,nan,nan,0.2307692308,nan,0.0909090909,0.046875,0,0.2,nan,0,nan,0.1,0.1538461538,nan,0,0,nan,0.0833333333,0.0303030303,0.0571428571,0,0.0882352941,nan,0,0.3636363636,nan,0.024691358,0,0,0,0.0229357798,0,0,0.25,0,nan,
PPMISI3003,0,0.0285714286,nan,0.0526315789,0,0.0066225166,0,0.0555555556,0.0384615385,nan,nan,0.0615384615,0.1,nan,nan,0,0,nan,nan,0.0238095238,nan,nan,0,0.0384615385,nan,0,0.2,nan,nan,0.0416666667,0.0606060606,nan,0.0487804878,0,0,nan,0,nan,0,0.0294117647,nan,0,0,nan,0,nan,0.25,0,0.025974026,nan,0,0.2352941176,nan,0.0458015267,0.0588235294,nan,0,0.036036036,nan,0.125,0.3333333333,nan,0,
PPMISI3004,0,0.007751938,nan,0.0193548387,0,0.0057034221,nan,0,0,nan,0,0,0.0700636943,nan,nan,0,0,nan,0,0,nan,nan,0,0,0,0,0.25,nan,nan,0.1666666667,0.0310077519,nan,0,0,0.1034482759,nan,0,nan,0.0277777778,0.0294117647,nan,0,0,nan,0,0.0512820513,0.064516129,0,0.0192307692,nan,0,0,nan,0.0714285714,0,nan,0,0.028708134,0,0.1428571429,0,nan,0,
PPMISI3006,0.0256410256,0.0434782609,nan,0.025,0,0.0024096386,0,0.0769230769,0.023255814,nan,nan,0,0,nan,nan,0,0,nan,0,0,nan,nan,nan,nan,0,nan,0,nan,nan,0.1363636364,0,nan,0,0,0.1304347826,nan,0,0.1111111111,0,0.0303030303,nan,nan,0.0208333333,nan,nan,0.0540540541,0.0735294118,0,0.0229007634,0.2857142857,0,0.2222222222,nan,0.0833333333,0.0408163265,nan,nan,0.0505050505,0,0.125,0,0.25,0.125,
PPMISI3007,0.0344827586,0.0238095238,0,0.0416666667,nan,0.0090293454,0,nan,0.05,nan,nan,0.0555555556,0.0579710145,nan,nan,0.1,0.0344827586,nan,0,0.0196078431,nan,nan,nan,0.0192307692,0,nan,0,nan,nan,nan,0.0416666667,nan,0.0714285714,nan,nan,nan,0,0.1111111111,0,0.0263157895,nan,0,0.0243902439,nan,nan,0.0384615385,0.0322580645,0,0.0217391304,nan,nan,0.3,nan,0.1818181818,0.037037037,nan,nan,0.0432098765,0,0,0,nan,0,
PPMISI3008,0,0,0,0.1212121212,0,0.0070588235,0,0,0.1034482759,nan,0,0.0175438596,0.0661157025,nan,nan,0,0.064516129,nan,0,0.0149253731,nan,nan,nan,0,0,0,0.3333333333,nan,nan,0.0833333333,0.0909090909,0.0909090909,0.0188679245,0,0.0833333333,nan,0,nan,0.0357142857,0.0454545455,nan,nan,0,nan,nan,nan,0.1111111111,0,0.0292397661,nan,nan,0.2272727273,nan,0.1084337349,0.0285714286,nan,0,0.0405405405,nan,0,nan,0,nan,
PPMISI3009,0.0666666667,0.0569620253,0,0.0446927374,0,0.012145749,0.0357142857,0.1,0.1052631579,nan,0,0.0465116279,0,nan,nan,0.0833333333,0.0445859873,nan,0,0.0208333333,nan,nan,nan,0.0833333333,0,0,0.125,nan,nan,0.097826087,0.0526315789,nan,0.0344827586,0.0309278351,0.0803571429,nan,0,nan,nan,0.0458015267,nan,0,0.0347222222,nan,0,0,0.0655737705,0,0.0532544379,nan,0.0434782609,0.3333333333,nan,0.0649350649,0.0212765957,nan,0,0.0424836601,0,0,0.027027027,0,0.125,
PPMISI3010,0,0.2,0,0.0357142857,0.0666666667,0.0047169811,0,0.1481481481,0.0882352941,nan,0,0.0344827586,0.0666666667,nan,nan,0.0909090909,0.03125,nan,0,0.0212765957,nan,nan,nan,0.037037037,0.0326086957,0,0,nan,nan,0.1904761905,0,nan,0.0206185567,0,0.1666666667,nan,0,0.1111111111,0,0.0384615385,nan,nan,0,nan,0,nan,0.08,0,0.0472972973,nan,0.1176470588,0,nan,0.0336134454,0.0677966102,nan,0,0.0196078431,0,nan,0.25,nan,0,
